Subject,Handedness
178243,70
114823,40
116726,55
187345,85
204521,30
182739,80
146735,100
901139,80
732243,90
901442,80
192641,-35
130518,80
263436,100
214524,-35
115825,100
751550,85
165436,50
200311,95
690152,80
385046,95
134829,40
995174,100
706040,60
104416,65
872764,55
169040,90
239136,100
111514,60
757764,100
191841,40
185442,75
169343,100
105923,35
246133,95
463040,75
573249,80
789373,85
200614,-70
195041,80
172130,90
191033,80
429040,100
898176,-5
157336,85
467351,95
770352,100
233326,70
541943,85
352738,90
644246,85
197348,100
360030,85
180533,60
601127,95
186949,20
192439,100
146937,65
942658,100
159239,60
638049,65
346137,100
395756,85
193845,55
150423,100
771354,90
525541,90
125525,-100
155938,75
966975,40
203418,50
131722,65
814649,70
140117,80
724446,85
958976,85
397760,80
436845,95
176542,80
164636,-80
825048,10
191336,90
910241,80
158035,90
251833,80
146129,80
680957,100
169444,95
859671,90
927359,100
175237,100
196144,80
169747,100
783462,55
102311,10
214019,75
126426,100
200210,-5
725751,50
899885,-40
178647,100
205220,75
162935,80
833249,100
381038,100
412528,90
547046,100
182436,70
826353,75
178142,100
617748,85
144226,90
365343,100
128935,90
145834,25
109123,85
171633,50
148133,75
627549,80
871762,70
905147,80
878877,95
249947,-100
173334,80
283543,-55
156334,100
158136,80
330324,85
562345,75
221319,100
393247,55
177140,100
318637,70
818859,-75
177645,65
164131,60
134627,95
108323,80
406836,100
167036,85
878776,75
135124,95
581450,-30
115017,90
132118,100
212419,90
201515,-5
320826,80
100610,85
137128,85
118225,60
102816,100
380036,70
198653,80
971160,80
181232,100
257845,75
209228,80
654552,100
943862,95
130114,95
572045,100
782561,80
146432,70
167440,100
765864,85
926862,45
177746,100
401422,20
199655,70
861456,90
671855,60
389357,90
